Index,cano2_smiles,Receptor,Uniprot ID,Activity Type,Activity Relation,p-value (-log),ChEMBL ID,Activity Value
38898,C=CCc1ccccc1OC[C@@H](O)CNCCOCCOCCNC(=O)CCCCCNC(=O)COc1ccc(/C=C/c2ccc3n2[B-](F)(F)[N+]2=C(c4cccs4)C=CC2=C3)cc1,adrb3,P13945,Kd,=,7.0,CHEMBL1830618,100.0
38899,O=C(CCCCCNC(=O)COc1ccc(/C=C/c2ccc3n2[B-](F)(F)[N+]2=C(c4cccs4)C=CC2=C3)cc1)NCCCCNCC(O)COc1cccc2ccccc12,adrb3,P13945,Kd,=,7.0,CHEMBL1830489,104.7
38900,O=C(CCCCCNC(=O)COc1ccc(/C=C/c2ccc3n2[B-](F)(F)[N+]2=C(c4cccs4)C=CC2=C3)cc1)NCCCCNC[C@H](O)COc1cccc2ccccc12,adrb3,P13945,Kd,=,6.9,CHEMBL1830486,123.0
38901,C=CCc1ccccc1OCC(O)CNC(C)C,adrb3,P13945,Kd,=,6.9,CHEMBL266195,138.0
38902,CC(C)NCC(O)COc1cccc2[nH]ccc12,adrb3,P13945,Kd,=,6.8,CHEMBL500,166.0
38903,CC(C)NCC(O)COc1cccc2ccccc12,adrb3,P13945,Kd,=,6.7,CHEMBL27,213.8
38904,O=C(CCCCCNC(=O)COc1ccc(/C=C/c2ccc3n2[B-](F)(F)[N+]2=C(c4cccs4)C=CC2=C3)cc1)NCCOCCOCCNCC(O)COc1cccc2ccccc12,adrb3,P13945,Kd,=,6.5,CHEMBL1830492,295.1
38905,O=C(CCCCCNC(=O)COc1ccc(/C=C/c2ccc3n2[B-](F)(F)[N+]2=C(c4cccs4)C=CC2=C3)cc1)NCCNCC(O)COc1cccc2[nH]ccc12,adrb3,P13945,Kd,=,6.5,CHEMBL1830620,331.1
38906,O=C(CCCCCNC(=O)COc1ccc(/C=C/c2ccc3n2[B-](F)(F)[N+]2=C(c4cccs4)C=CC2=C3)cc1)NCCOCCOCCNCC(O)COc1cccc2[nH]ccc12,adrb3,P13945,Kd,=,6.4,CHEMBL1830621,380.2
38907,O=C(CCCCCNC(=O)COc1ccc(/C=C/c2ccc3n2[B-](F)(F)[N+]2=C(c4cccs4)C=CC2=C3)cc1)NCCNC[C@H](O)COc1cccc2ccccc12,adrb3,P13945,Kd,=,7.4,CHEMBL1830485,44.7
38908,C=CCc1ccccc1OCC(O)CNCCNC(=O)CCCCCNC(=O)COc1ccc(/C=C/c2ccc3n2[B-](F)(F)[N+]2=C(c4cccs4)C=CC2=C3)cc1,adrb3,P13945,Kd,=,7.3,CHEMBL1830617,46.8
38909,O=C(CCCCCNC(=O)COc1ccc(/C=C/c2ccc3n2[B-](F)(F)[N+]2=C(c4cccs4)C=CC2=C3)cc1)NCCCCCCCCNC[C@H](O)COc1cccc2ccccc12,adrb3,P13945,Kd,=,7.2,CHEMBL1830487,67.6
38910,C=CCc1ccccc1OC[C@@H](O)CNCCNC(=O)CCCCCNC(=O)COc1ccc(/C=C/c2ccc3n2[B-](F)(F)[N+]2=C(c4cccs4)C=CC2=C3)cc1,adrb3,P13945,Kd,=,7.2,CHEMBL1830493,69.2
38911,O=C(CCCCCNC(=O)COc1ccc(/C=C/c2ccc3n2[B-](F)(F)[N+]2=C(c4cccs4)C=CC2=C3)cc1)NCCCCCCCCNCC(O)COc1cccc2ccccc12,adrb3,P13945,Kd,=,7.1,CHEMBL1830490,77.6
38912,O=C(CCCCCNC(=O)COc1ccc(/C=C/c2ccc3n2[B-](F)(F)[N+]2=C(c4cccs4)C=CC2=C3)cc1)NCCOCCOCCNC[C@H](O)COc1cccc2ccccc12,adrb3,P13945,Kd,=,7.1,CHEMBL1830491,81.3
