Index,cano2_smiles,Receptor,Uniprot ID,Activity Type,Activity Relation,p-value (-log),ChEMBL ID,Activity Value
31810,CCC(=O)NCc1cc(C(=O)NCCN2CCC(N3CCC(n4c(=O)[nH]c5ccccc54)CC3)CC2)cc(C(=O)NCCN2CCN(CCCCC3CCN(CC(=O)N4c5ccccc5NC(=O)c5ccccc54)CC3)CC2)c1,acm1,P11229,Kd,=,9.1,CHEMBL4471882,0.8
31811,CN1CCCC[C@@H]1/C=C/C1c2ccccc2Cc2ccccc21,acm1,P11229,Kd,=,8.8,CHEMBL22829,1.5
31812,CN1CCCCC1/C=C/C1c2ccccc2Cc2ccccc21,acm1,P11229,Kd,=,8.8,CHEMBL21942,1.8
31813,CC1(C)C(/C=C/C=C/C=C2/N(CCCCCC(=O)NCc3cc(C(=O)NCCNC(=O)CCc4cn(CCCCC5CCN(CC(=O)N6c7ccccc7NC(=O)c7ccccc76)CC5)cn4)cc(C(=O)NCCNC(=O)CCc4cn(CCCCC5CCN(CC(=O)N6c7ccccc7NC(=O)c7ccccc76)CC5)cn4)c3)c3ccc(S(=O)(=O)O)cc3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccccc21,acm1,P11229,Kd,=,8.0,CHEMBL4636899,10.0
31814,CN1CCCC[C@@H]1CC=C1c2ccccc2Cc2ccccc21,acm1,P11229,Kd,=,7.9,CHEMBL279712,11.6
31815,O=C(CCCCCNC(=O)CCC1=[N+]2C(=Cc3ccc(-c4cccs4)n3[B-]2(F)F)C=C1)NCCCCCC(=O)NCCCCN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,acm1,P11229,Kd,=,7.9,CHEMBL2368391,12.7
31816,O=C(CCC1=[N+]2C(=Cc3ccc(-c4cccs4)n3[B-]2(F)F)C=C1)NCCCCCCN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,acm1,P11229,Kd,=,7.9,CHEMBL2368393,12.9
31817,C[N+]1=C(CCC(=O)NCCCCCC(=O)NCCCCN2CCN(CC(=O)N3c4ccccc4C(=O)Nc4cccnc43)CC2)C=C/C1=C/c1ccc(-c2cccs2)n1[BH-](F)F,acm1,P11229,Kd,=,7.9,CHEMBL365702,14.2
31818,C[N+](C)(CC#CCOC1=NOCC1)CCCCNC(=O)c1cn(Cc2ccccc2)c2cc(Br)ccc2c1=O,acm1,P11229,Kd,=,6.9,CHEMBL3414839,141.3
31819,C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C/[C@H]3CCC[C@H](C)N3C)[C@@H]12,acm1,P11229,Kd,=,6.8,CHEMBL277642,148.0
31820,C[N+](C)(CC#CCOC1=NOCC1)CCCCCCNC(=O)c1cn(Cc2ccccc2)c2ccc(F)cc2c1=O,acm1,P11229,Kd,=,6.8,CHEMBL3414844,151.4
31821,C[N+](C)(CC#CCOC1=NOCC1)CCCCNC(=O)c1cn(Cc2ccccc2)c2c(F)cccc2c1=O,acm1,P11229,Kd,=,6.8,CHEMBL3414838,151.4
31822,CC[C@@H]1SC2(CCNCC2)N(CCCCCCCCOc2ccc3cc(Cn4cc(C(=O)O)c(=O)c5cccc(F)c54)ccc3c2)C1=O,acm1,P11229,Kd,=,6.8,CHEMBL3414847,166.0
31823,C[C@@H]1OC[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C/[C@H]3CCC[C@H](C)N3C)[C@H]21,acm1,P11229,Kd,=,6.8,CHEMBL160666,167.0
31824,CC(=O)OCC[N+](C)(C)C,acm1,P11229,Kd,=,4.8,CHEMBL667,17378.0
31825,CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)N(C)CCCCCC(=O)NCCOCCOCCN4CCN(CC(=O)N5c6ccccc6C(=O)Nc6cccnc65)CC4)cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,acm1,P11229,Kd,=,7.7,CHEMBL405526,18.7
31826,CN1CCCCC1CC=C1c2ccccc2Cc2ccccc21,acm1,P11229,Kd,=,8.6,CHEMBL418189,2.7
