Index,cano2_smiles,Receptor,Uniprot ID,Activity Type,Activity Relation,p-value (-log),ChEMBL ID,Activity Value
57117,CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)C)c(=O)n(-c2ccc(OC)nn2)c(=O)n3Cc2c(F)cccc2F)cc1,gnrhr,P30968 ,Kd,=,9.4,CHEMBL1800159,0.4
57118,CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)C)c(=O)n(-c2ccc(OC)nn2)c(=O)n3Cc2c(F)cccc2F)cc1,gnrhr,P30968 ,Kd,=,9.1,CHEMBL1800159,0.8
57119,COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](NCCCC(=O)O)c3ccccc3)c2=O)c1F,gnrhr,P30968 ,Kd,=,8.9,CHEMBL1208155,1.2
57120,COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](NCCCC(=O)O)c3ccccc3)c2=O)c1F,gnrhr,P30968 ,Kd,=,8.5,CHEMBL1208155,3.2
57121,O=C(NCc1ncc(C(F)(F)F)cc1Cl)c1ccc2c(c1)C1(CCS(=O)(=O)CC1)[C@H](C1CC1)N2S(=O)(=O)c1ccc(F)cc1,gnrhr,P30968 ,Kd,=,8.3,CHEMBL4537788,5.5
57122,O=C(NCc1ncc(C(F)(F)F)cc1Cl)c1ccc2c(c1)C1(CCS(=O)(=O)CC1)[C@H](C1CC1)N2S(=O)(=O)c1ccc(F)cc1,gnrhr,P30968 ,Kd,=,8.0,CHEMBL4537788,9.8
57123,CC(C)OC(=O)c1cn(Cc2c(F)cccc2F)c2sc(-c3ccc(NC(=O)C(C)C)cc3)c(CN(C)Cc3ccccc3)c2c1=O,gnrhr,P30968 ,Ki,=,10.0,CHEMBL71917,0.1
57124,COc1cccc(-c2c(C)n(Cc3c(F)cccc3S(C)(=O)=O)c(=O)n(C[C@H](N)c3ccccc3)c2=O)c1F,gnrhr,P30968 ,Ki,=,9.7,CHEMBL466731,0.2
57125,CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)Cc2ccccc2)c(=O)n(-c2ccccc2)c(=O)n3Cc2c(F)cccc2F)cc1,gnrhr,P30968 ,Ki,=,9.7,CHEMBL22055,0.2
57126,CC(C)OC(=O)c1cn(Cc2c(F)cccc2F)c2sc(-c3ccc(NC(=O)C(C)C)cc3)c(CN(C)Cc3ccccc3)c2c1=O,gnrhr,P30968 ,Ki,=,9.7,CHEMBL71917,0.2
57127,COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](C)NC3CCCC3)c2=O)c1Cl,gnrhr,P30968 ,Ki,=,9.5,CHEMBL256109,0.3
57128,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)N2C(=O)OC[C@@H]2C)[C@H](C)[C@@H](OC2O[C@H](C)C[C@H](N(C)CC3CC3)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCc3ccc(F)c(Cl)c3)C(=O)O[C@]12C,gnrhr,P30968 ,Ki,=,9.5,CHEMBL12282,0.3
57129,COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](CO)NC3CCCC3)c2=O)c1Cl,gnrhr,P30968 ,Ki,=,9.4,CHEMBL403234,0.4
57130,COc1nc(NCCCN2CCOCC2)nc(OC)c1NC(=O)c1ccc(Oc2cc3c(cc2C)CCC3(C)C)o1,gnrhr,P30968 ,Ki,=,9.4,CHEMBL210514,0.4
57131,Cc1cc(-c2c(OCC[C@@H]3CCN3)c3cc(C(=O)Nc4ccncn4)c(Cl)cc3[nH]c2=O)cc(C)c1C,gnrhr,P30968 ,Ki,=,9.4,CHEMBL120432,0.4
57132,CCNC(=O)Nc1ccc(-c2sc3c(c2CN(C)Cc2ccccc2)c(=O)n(-c2ccccc2)c(=O)n3Cc2c(F)cccc2F)cc1,gnrhr,P30968 ,Ki,=,9.4,CHEMBL435167,0.4
57133,COc1cccc(-c2cn(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](N)c3ccccc3)c2=O)c1Cl,gnrhr,P30968 ,Ki,=,9.4,CHEMBL192955,0.5
57134,COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](N)c3ccccc3)c2=O)c1F,gnrhr,P30968 ,Ki,=,9.3,CHEMBL468551,0.5
57135,COc1cccc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(C[C@H](C)N(C)Cc3ccccn3)c2=O)c1F,gnrhr,P30968 ,Ki,=,9.3,CHEMBL426780,0.5
57136,COc1cccc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(C[C@H](N)c3ccccc3)c2=O)c1F,gnrhr,P30968 ,Ki,=,9.3,CHEMBL179691,0.6
57137,CN(CCc1ccccn1)Cc1c(-c2ccc([N+](=O)[O-])cc2)sc2c1c(=O)n(-c1ccccc1)c(=O)n2Cc1c(F)cccc1F,gnrhr,P30968 ,Ki,=,9.2,CHEMBL333518,0.6
57138,COc1cccc(-c2cn(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](N)c3ccccc3)c2=O)c1F,gnrhr,P30968 ,Ki,=,9.2,CHEMBL434936,0.6
57139,Cc1c(-c2ccccc2F)c(=O)n(C[C@H](N)c2ccccc2)c(=O)n1Cc1c(F)cccc1Cl,gnrhr,P30968 ,Ki,=,9.2,CHEMBL360143,0.6
57140,COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](C)NC3CCCC3)c2=O)c1F,gnrhr,P30968 ,Ki,=,9.2,CHEMBL259906,0.6
57141,COc1cccc(-c2c(C)n(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](CO)NC3CCCC3)c2=O)c1Cl,gnrhr,P30968 ,Ki,=,9.2,CHEMBL403234,0.7
57142,Cc1cc(C)cc(-c2[nH]c3ccc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2C(C)CNCCCCc2ccnnc2)c1,gnrhr,P30968 ,Ki,=,9.2,CHEMBL408746,0.7
57143,CCC(=O)Nc1ccc(-c2sc3c(c2CN(C)Cc2ccccc2)c(=O)n(-c2ccccc2)c(=O)n3Cc2c(F)cccc2F)cc1,gnrhr,P30968 ,Ki,=,9.1,CHEMBL21126,0.8
57144,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](OC2O[C@H](C)C[C@H](N(CC3CC3)CC3CC3)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCc3ccc(F)c(Cl)c3)C(=O)O[C@]12C,gnrhr,P30968 ,Ki,=,9.1,CHEMBL410940,0.9
57145,COc1cccc(-c2cn(Cc3c(F)cccc3S(C)(=O)=O)c(=O)n(C[C@H](N)c3ccccc3)c2=O)c1F,gnrhr,P30968 ,Ki,=,9.1,CHEMBL364914,0.9
57146,COc1cccc(-c2cn(Cc3c(F)cccc3F)c(=O)n(C[C@H](N)c3ccccc3)c2=O)c1Cl,gnrhr,P30968 ,Ki,=,9.0,CHEMBL192912,1.0
57147,CNCCNc1nc(OC)c(NC(=O)c2ccc(Cc3cc4c(cc3C)C(C)(C)OC4(C)C)o2)c(OC)n1,gnrhr,P30968 ,Ki,=,9.0,CHEMBL411526,1.0
57148,COc1cccc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(C[C@@H](C)NCc3ccccn3)c2=O)c1F,gnrhr,P30968 ,Ki,=,9.0,CHEMBL23969,1.1
57149,N[C@@H](Cn1c(=O)c(-c2ccccc2Cl)cn(Cc2c(F)cccc2C(F)(F)F)c1=O)c1ccccc1,gnrhr,P30968 ,Ki,=,9.0,CHEMBL189164,1.1
57150,COc1cccc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(C[C@@H](C)N(C)CCc3ccccn3)c2=O)c1,gnrhr,P30968 ,Ki,=,9.0,CHEMBL321376,1.1
57151,COC(=O)C(C)(C)c1nc2n(Cc3ccccc3F)c(C)c(-c3cccc(OC)c3)c(=O)n2c1CN(C)CCc1ccccn1,gnrhr,P30968 ,Ki,=,8.9,CHEMBL298982,1.2
57152,CN[C@H](CC(C)C)Cn1c(=O)c(-c2cccc(OC)c2F)c(C)n(Cc2c(F)cccc2F)c1=O,gnrhr,P30968 ,Ki,=,8.9,CHEMBL116071,1.2
57153,N[C@@H](Cn1c(=O)c(-c2ccccc2Cl)cn(Cc2c(F)cccc2C(F)(F)F)c1=O)c1ccccc1,gnrhr,P30968 ,Ki,=,8.9,CHEMBL189164,1.2
57154,CN[C@@H](Cn1c(=O)c(-c2cccc(OCCCCC(=O)O)c2F)c(C)n(Cc2c(F)cccc2C(F)(F)F)c1=O)c1ccccc1,gnrhr,P30968 ,Ki,=,8.9,CHEMBL451916,1.2
57155,Cc1c(-c2cccc(OCCCCC(=O)O)c2F)c(=O)n(C[C@H](N)c2ccccc2)c(=O)n1Cc1c(F)cccc1C(F)(F)F,gnrhr,P30968 ,Ki,=,8.9,CHEMBL454774,1.2
57156,COc1cccc(-c2cn(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](NCCCC(=O)O)c3ccccc3)c2=O)c1F,gnrhr,P30968 ,Ki,=,8.9,CHEMBL509075,1.2
57157,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)N2C(=O)OC[C@@H]2C)[C@H](C)[C@@H](OC2O[C@H](C)C[C@H](N(CC3CC3)CC3CC3)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCc3ccc(Cl)c(Cl)c3)C(=O)O[C@]12C,gnrhr,P30968 ,Ki,=,8.9,CHEMBL408925,1.3
57158,CS(=O)(=O)c1cccc(F)c1Cn1cc(-c2ccccc2Cl)c(=O)n(C[C@H](N)c2ccccc2)c1=O,gnrhr,P30968 ,Ki,=,8.9,CHEMBL371613,1.3
57159,Cc1c(-c2cccc(OCCCCCC(=O)O)c2F)c(=O)n(C[C@H](N)c2ccccc2)c(=O)n1Cc1c(F)cccc1C(F)(F)F,gnrhr,P30968 ,Ki,=,8.9,CHEMBL505033,1.3
57160,C#CCNC(=O)Nc1ccc(-c2nc3n(Cc4c(F)cccc4F)cc(C(=O)OCC)c(=O)n3c2CN(C)Cc2ccccc2)cc1,gnrhr,P30968 ,Ki,=,8.9,CHEMBL237734,1.3
57161,COc1cccc(-c2cn(Cc3c(F)cccc3Cl)c(=O)n(C[C@H](N)c3ccccc3)c2=O)c1F,gnrhr,P30968 ,Ki,=,8.9,CHEMBL192171,1.4
57162,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](OC2O[C@H](C)C[C@H](N(C)C3CCCC3)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCc3ccc(Cl)c(Cl)c3)C(=O)O[C@]12C,gnrhr,P30968 ,Ki,=,8.8,CHEMBL264043,1.5
57163,CN[C@@H](Cn1c(=O)c(-c2cccc(OC)c2F)c(C)n(Cc2c(F)cccc2F)c1=O)c1ccccc1,gnrhr,P30968 ,Ki,=,8.7,CHEMBL180076,1.8
57164,CCOc1cccc(-c2cn(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](N)c3ccccc3)c2=O)c1F,gnrhr,P30968 ,Ki,=,8.7,CHEMBL190929,1.8
57165,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)N2C(=O)OC[C@@H]2C)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)CC3CC3)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCc3ccc(Cl)c(Cl)c3)C(=O)O[C@]12C,gnrhr,P30968 ,Ki,=,8.7,CHEMBL303274,1.9
57166,COc1cccc(-c2cn(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](NCCCC(=O)O)c3ccccc3)c2=O)c1F,gnrhr,P30968 ,Ki,=,8.7,CHEMBL509075,2.0
57167,N[C@@H](Cn1c(=O)c(-c2ccc(COC(=O)CO)cc2)cn(Cc2c(F)cccc2C(F)(F)F)c1=O)c1ccccc1,gnrhr,P30968 ,Ki,=,8.0,CHEMBL499026,10.0
57168,Cc1c(-c2cccs2)c(=O)n(C[C@H](N)c2ccccc2)c(=O)n1Cc1c(F)cccc1F,gnrhr,P30968 ,Ki,=,8.0,CHEMBL186563,10.0
57169,Cc1cc2c(cc1Cc1ccc(C(=O)NCc3cccc(CNc4ccnc(NC[C@@H]5CCCO5)n4)c3)o1)C(C)(C)CCC2(C)C,gnrhr,P30968 ,Ki,=,8.0,CHEMBL121145,10.0
57170,COc1ccccc1Cn1c(C)c(-c2ccccc2F)c(=O)n(C[C@H](N)c2ccccc2)c1=O,gnrhr,P30968 ,Ki,=,7.0,CHEMBL366865,100.0
57171,CN[C@@H](Cn1c(=O)c(-c2ccc3c(c2)OCO3)c(C)n(Cc2c(F)cccc2F)c1=O)c1ccccc1,gnrhr,P30968 ,Ki,=,7.0,CHEMBL178281,100.0
57172,CCOC(=O)c1cn(Cc2ccccc2F)c2c(C#N)c(-c3ccc(OCC(C)C)cc3)c(CN(C)CCc3ccccn3)n2c1=O,gnrhr,P30968 ,Ki,=,7.0,CHEMBL334063,100.0
57173,CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](OC2O[C@H](C)C[C@H](N(C)C(C)C)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCc3ccc(Cl)cc3)C(=O)O[C@]12C,gnrhr,P30968 ,Ki,=,5.0,CHEMBL12265,10000.0
57174,COc1cccc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(C[C@@H](C)N(C)Cc3ccccn3)c2=O)c1,gnrhr,P30968 ,Ki,=,7.0,CHEMBL112466,102.0
57175,Cc1cc2c(cc1Cc1ccc(C(=O)NCc3ccccc3)o1)C(C)(C)CCC2(C)C,gnrhr,P30968 ,Ki,=,7.0,CHEMBL326313,102.0
57176,Cc1cc2c(cc1Cc1ccc(C(=O)NCC3CCC(CNc4ccnc(Cl)n4)CC3)o1)C(C)(C)CCC2(C)C,gnrhr,P30968 ,Ki,=,7.0,CHEMBL121576,103.0
57177,COc1cccc(-c2c(C)n(Cc3ccccc3F)c3nc(C(C)(C)C)c(CN(C)Cc4ccccn4)n3c2=O)c1,gnrhr,P30968 ,Ki,=,8.0,CHEMBL49297,11.0
57178,CCNc1ccc(-c2sc3c(c2CN(C)Cc2ccccc2)c(=O)n(-c2ccccc2)c(=O)n3Cc2c(F)cccc2F)cc1,gnrhr,P30968 ,Ki,=,8.0,CHEMBL332463,11.0
57179,COCCCNc1ccnc(NCc2cccc(CNC(=O)c3ccc(Cc4cc5c(cc4C)C(C)(C)CCC5(C)C)o3)c2)n1,gnrhr,P30968 ,Ki,=,8.0,CHEMBL123284,11.0
57180,COc1cccc(-n2c(=O)c(Cc3c(F)cccc3F)nn(C[C@H](N)c3ccccc3)c2=O)c1,gnrhr,P30968 ,Ki,=,7.0,CHEMBL494968,110.0
57181,N[C@@H](Cn1c(=O)c(-c2ccccc2F)c2n(c1=O)[C@@H](c1ccccc1)CS2)c1ccccc1,gnrhr,P30968 ,Ki,=,7.0,CHEMBL513126,110.0
57182,CCOC(=O)CNCc1ccc(-c2cn(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](N)c3ccccc3)c2=O)cc1,gnrhr,P30968 ,Ki,=,7.0,CHEMBL503624,110.0
57183,N[C@@H](Cn1c(=O)c(-c2ccccc2F)c2n(c1=O)C(c1ccccc1)CS2)c1ccccc1,gnrhr,P30968 ,Ki,=,7.0,CHEMBL179101,110.0
57184,Cc1cc2c(cc1Cc1ccc(C(=O)NCc3ccc(CNc4ncccn4)cc3)o1)C(C)(C)CCC2(C)C,gnrhr,P30968 ,Ki,=,7.0,CHEMBL123301,110.0
57185,Cc1ccc(CN2CCc3c(c(=O)n(CC4NCCc5ccccc54)c(=O)n3Cc3c(F)cccc3F)C2)c(C)c1,gnrhr,P30968 ,Ki,=,7.0,CHEMBL172192,110.0
57186,COc1cccc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(C[C@H](C(C)C)N(C)C)c2=O)c1F,gnrhr,P30968 ,Ki,=,6.0,CHEMBL180280,1100.0
57187,NCc1ccc(-c2cn(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](N)c3ccccc3)c2=O)cc1,gnrhr,P30968 ,Ki,=,6.0,CHEMBL497747,1100.0
57188,COc1cccc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(CCNCCc3ccccc3)c2=O)c1,gnrhr,P30968 ,Ki,=,6.0,CHEMBL64252,1100.0
57189,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)N2CCOC2=O)[C@H](C)[C@@H](OC2O[C@H](C)C[C@H](N(C)C(C)C)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCc3ccc(Cl)cc3)C(=O)O[C@]12C,gnrhr,P30968 ,Ki,=,6.9,CHEMBL273466,114.8
57190,CC(C)(C)c1ccc(-c2nc3c(N4CCN(Cc5cccc6nccnc56)CC4)cccc3[nH]2)cc1,gnrhr,P30968 ,Ki,=,7.9,CHEMBL515123,12.2
57191,COc1cccc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(C[C@@H](c3ccccc3)N(C)C)c2=O)c1F,gnrhr,P30968 ,Ki,=,6.9,CHEMBL179429,120.0
57192,COc1cccc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(C[C@H](N)C3CCCCC3)c2=O)c1F,gnrhr,P30968 ,Ki,=,6.9,CHEMBL326504,120.0
57193,Cc1nc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(C[C@H](N)c3ccccc3)c2=O)cs1,gnrhr,P30968 ,Ki,=,6.9,CHEMBL363659,120.0
57194,COc1cccc(-c2cn(Cc3c(F)cccc3S(=O)(=O)N(C)C)c(=O)n(C[C@H](N)c3ccccc3)c2=O)c1F,gnrhr,P30968 ,Ki,=,6.9,CHEMBL189984,120.0
57195,COc1cccc(-n2c(=O)n(Cc3c(F)cccc3F)c(=O)n(CC(N)c3ccccc3)c2=O)c1,gnrhr,P30968 ,Ki,=,6.9,CHEMBL369723,120.0
57196,COCCn1c(C)c(-c2ccccc2F)c(=O)n(C[C@H](N)c2ccccc2)c1=O,gnrhr,P30968 ,Ki,=,5.9,CHEMBL360910,1200.0
57197,COc1cccc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n([C@@H](C)CNCC(C)C)c2=O)c1,gnrhr,P30968 ,Ki,=,5.9,CHEMBL112131,1200.0
57198,COc1cccc(-c2c(C)n(Cc3ccccc3F)c3nc4c(n3c2=O)CN(CCc2ccccn2)CC4(C)C)c1,gnrhr,P30968 ,Ki,=,4.9,CHEMBL295807,12000.0
57199,COc1cccc(-c2c3n(c(=O)n(CC(N)c4ccccc4)c2=O)C(c2ccccc2)CO3)c1F,gnrhr,P30968 ,Ki,=,6.9,CHEMBL425529,125.0
57200,COc1cccc(-c2nn(Cc3c(F)cccc3C(F)(F)F)c(=O)n(C[C@H](N)c3ccccc3)c2=O)c1F,gnrhr,P30968 ,Ki,=,7.9,CHEMBL466736,13.0
57201,CSc1ccc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(C[C@H](N)c3ccccc3)c2=O)cc1,gnrhr,P30968 ,Ki,=,7.9,CHEMBL179460,13.0
57202,CN[C@@H](Cn1c(=O)c(-c2ccc3c(c2)OCCO3)c(C)n(Cc2c(F)cccc2F)c1=O)c1ccccc1,gnrhr,P30968 ,Ki,=,7.9,CHEMBL425864,13.0
57203,Cc1cc2c(cc1Cc1ccc(C(=O)NC[C@H]3CC[C@H](C(N)=O)CC3)o1)C(C)(C)CCC2(C)C,gnrhr,P30968 ,Ki,=,7.9,CHEMBL117863,13.0
57204,CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](OC2O[C@H](C)C[C@H](N(C)CC3CC3)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCc3ccc(Cl)cc3)C(=O)O[C@]12C,gnrhr,P30968 ,Ki,=,7.9,CHEMBL288534,13.2
57205,COC(=O)C(C)(C)c1nc2n(Cc3ccccc3F)c(C)c(-c3cccc(OC)c3)c(=O)n2c1CN(C)CCc1ccccc1,gnrhr,P30968 ,Ki,=,6.9,CHEMBL301322,130.0
57206,Cc1ccc(Nc2nc(-c3c(C)n(Cc4c(F)cccc4F)c(=O)n(C[C@H](N)c4ccccc4)c3=O)cs2)c(C)c1,gnrhr,P30968 ,Ki,=,6.9,CHEMBL360625,130.0
57207,COc1ccccc1Nc1nc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(C[C@H](N)c3ccccc3)c2=O)cs1,gnrhr,P30968 ,Ki,=,6.9,CHEMBL366127,130.0
57208,COc1cccc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(CCN3CCC[C@H]3Cc3ccccn3)c2=O)c1,gnrhr,P30968 ,Ki,=,6.9,CHEMBL303140,130.0
57209,Cc1cc2c(cc1Cc1ccc(C(=O)NCc3cccc(CNc4ncccn4)c3)o1)C(C)(C)CCC2(C)C,gnrhr,P30968 ,Ki,=,6.9,CHEMBL331337,130.0
57210,C=C1C(Cl)=CC=C1c1c(C)n(Cc2c(F)cccc2F)c(=O)n(C[C@H](N)c2ccccc2)c1=O,gnrhr,P30968 ,Ki,=,7.9,CHEMBL466531,14.0
57211,Cc1c(-c2ccccc2F)c(=O)n(C[C@H](N)c2ccccc2)c(=O)n1Cc1ccccc1Cl,gnrhr,P30968 ,Ki,=,7.9,CHEMBL179612,14.0
