Index,cano2_smiles,Receptor,Uniprot ID,Activity Type,Activity Relation,p-value (-log),ChEMBL ID,Activity Value
38232,CC(C)NCC(O)COc1cccc2ccccc12,adrb2,P07550 ,Kd,=,10.0,CHEMBL27,0.1
38233,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,adrb2,P07550 ,Kd,=,9.7,CHEMBL723,0.2
38234,CC(C)(C)NCC(O)COc1cccc2[nH]c(=O)[nH]c12,adrb2,P07550 ,Kd,=,9.7,CHEMBL420746,0.2
38235,Cc1ccc(OC[C@H](O)[C@H](C)NC(C)C)c2c1CCC2,adrb2,P07550 ,Kd,=,9.6,CHEMBL198059,0.2
38236,CCc1cc2c(cc1CC)CC(C)(NC[C@H](O)c1ccc(O)c3[nH]c(=O)ccc13)C2,adrb2,P07550 ,Kd,=,9.6,CHEMBL2088201,0.3
38237,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,adrb2,P07550 ,Kd,=,9.5,CHEMBL1263,0.3
38238,Cc1ccc(OC[C@@H](O)[C@H](C)NC(C)C)c2c1CCC2,adrb2,P07550 ,Kd,=,9.5,CHEMBL1233766,0.3
38239,C[C@@H](NCCc1ccc(O)cc1)[C@@H](O)c1ccc(O)cc1,adrb2,P07550 ,Kd,=,9.3,CHEMBL489553,0.5
38240,C=CCc1ccccc1OCC(O)CNC(C)C,adrb2,P07550 ,Kd,=,9.3,CHEMBL266195,0.5
38241,CC(C)NCC(O)COc1cccc2[nH]ccc12,adrb2,P07550 ,Kd,=,9.3,CHEMBL500,0.5
38242,CC(C)NCC(O)COc1cccc2ccccc12,adrb2,P07550 ,Kd,=,9.2,CHEMBL27,0.6
38243,O=C(CCCCCNC(=O)COc1ccc(/C=C/c2ccc3n2[B-](F)(F)[N+]2=C(c4cccs4)C=CC2=C3)cc1)NCCOCCOCCNC[C@H](O)COc1cccc2ccccc12,adrb2,P07550 ,Kd,=,9.2,CHEMBL1830491,0.6
38244,Cc1ccc(OCC(O)C(C)NC(C)C)c2c1CCC2,adrb2,P07550 ,Kd,=,9.2,CHEMBL513389,0.6
38245,CC(C)(C)NCC(O)COc1cccc2[nH]c(C#N)cc12,adrb2,P07550 ,Kd,=,9.2,CHEMBL378501,0.7
38246,O=C(CCCCCNC(=O)COc1ccc(/C=C/c2ccc3n2[B-](F)(F)[N+]2=C(c4cccs4)C=CC2=C3)cc1)NCCCCNC[C@H](O)COc1cccc2ccccc12,adrb2,P07550 ,Kd,=,9.1,CHEMBL1830486,0.7
38247,C=CCc1ccccc1OCC(O)CNC(C)C,adrb2,P07550 ,Kd,=,9.1,CHEMBL266195,0.8
