Index,cano2_smiles,Receptor,Uniprot ID,Activity Type,Activity Relation,p-value (-log),ChEMBL ID,Activity Value
45426,CN1CCc2cc(I)c(O)cc2C(c2ccc(N=[N+]=[N-])cc2)C1,drd1,P21728,Kd,=,9.8,CHEMBL434215,0.2
45427,CN1CCc2cc(I)c(O)cc2[C@H](c2ccc(N=[N+]=[N-])cc2)C1,drd1,P21728,Kd,=,9.6,CHEMBL150800,0.3
45428,CN1CCc2cc(Cl)c(O)cc2[C@@H](c2ccccc2)C1,drd1,P21728,Kd,=,9.4,CHEMBL1256645,0.4
45429,CCCC[C@H](NC(=O)[C@H]1CC[C@@H]2c3[nH]c4ccccc4c3CCN2C1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCCN)C(N)=O,drd1,P21728,Kd,=,5.9,CHEMBL3423404,1200.0
45430,CC(C)[C@H](NC(=O)[C@H](CCC1CCCCC1)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1)C(=O)N1CCC[C@H]1C(N)=O,drd1,P21728,Kd,=,5.9,CHEMBL226639,1200.0
45431,CCCC[C@H](NC(=O)[C@H]1CC[C@@H]2c3[nH]c4ccccc4c3CCN2C1)C(=O)N[C@@H](Cc1ccc(F)c(F)c1)C(=O)N[C@@H](CCCCN)C(N)=O,drd1,P21728,Kd,=,5.9,CHEMBL3423407,1300.0
45432,Oc1cc2c(cc1O)[C@@H](c1ccccc1)CNCC2,drd1,P21728,Kd,=,6.8,CHEMBL1467585,150.0
45433,NCCCC[C@H](NC(=O)[C@H](Cc1ccc(F)c(F)c1)NC(=O)[C@H]1CCCN1C(=O)CCCCCNC(=O)[C@H]1CC[C@@H]2c3[nH]c4ccccc4c3CCN2C1)C(N)=O,drd1,P21728,Kd,=,5.8,CHEMBL3423410,1500.0
45434,NCCCC[C@H](NC(=O)[C@H](Cc1ccc(F)c(F)c1)NC(=O)[C@@H]1CCCN1C(=O)CCCCCNC(=O)[C@H]1CC[C@@H]2c3[nH]c4ccccc4c3CCN2C1)C(N)=O,drd1,P21728,Kd,=,4.8,CHEMBL3423403,15000.0
45435,NCCCC[C@H](NC(=O)[C@H](Cc1ccc(F)c(F)c1)NC(=O)[C@H]1CCCN1C(=O)CCCCCNC(=O)[C@@H]1CC[C@H]2c3[nH]c4ccccc4c3CCN2C1)C(N)=O,drd1,P21728,Kd,=,5.8,CHEMBL3423411,1600.0
45436,CCCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,drd1,P21728,Kd,=,5.7,CHEMBL225230,1816.0
45437,Oc1ccc([C@@H]2CNCCc3c2cc(O)c(O)c3Cl)cc1,drd1,P21728,Kd,=,5.7,CHEMBL1161520,1818.0
45438,CCCC[C@H](NC(=O)[C@H]1CC[C@@H]2c3[nH]c4ccccc4c3CCN2C1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(N)=O,drd1,P21728,Kd,=,5.7,CHEMBL3423406,1900.0
45439,NCCCC[C@H](NC(=O)[C@H](Cc1ccc(F)c(F)c1)NC(=O)[C@H]1CCCN1C(=O)CCCCCNC(=O)[C@H]1CC[C@@H]2c3[nH]c4ccccc4c3CCN2C1)C(N)=O,drd1,P21728,Kd,=,4.6,CHEMBL3423410,24000.0
45440,NCCc1ccc(O)c(O)c1,drd1,P21728,Kd,=,5.6,CHEMBL59,2500.0
45441,CCCC[C@H](NC(=O)[C@H]1CC[C@H]2c3[nH]c4ccccc4c3CCN2C1)C(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)N1C[C@@H](N)C[C@H]1C(N)=O,drd1,P21728,Kd,=,4.6,CHEMBL3423400,27000.0
45442,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,drd1,P21728,Kd,=,7.6,CHEMBL588,28.0
45443,NCCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)CCCCCNC(=O)[C@H]1CC[C@@H]2c3[nH]c4ccccc4c3CCN2C1)C(N)=O,drd1,P21728,Kd,=,5.5,CHEMBL3423402,2900.0
45444,NCCCC[C@H](NC(=O)[C@H](Cc1ccc(F)c(F)c1)NC(=O)[C@H]1CCCN1C(=O)CCCCCNC(=O)[C@@H]1CC[C@H]2c3[nH]c4ccccc4c3CCN2C1)C(N)=O,drd1,P21728,Kd,=,4.5,CHEMBL3423411,30000.0
45445,CCCC[C@H](NC(=O)CCCCCNC(=O)[C@H]1CC[C@@H]2c3[nH]c4ccccc4c3CCN2C1)C(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)N[C@@H](CCCCN)C(N)=O,drd1,P21728,Kd,=,5.5,CHEMBL3423409,3300.0
45446,CCCC[C@H](NC(=O)CCCCCNC(=O)[C@H]1CC[C@@H]2c3[nH]c4ccccc4c3CCN2C1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N1C[C@@H](N)C[C@H]1C(N)=O,drd1,P21728,Kd,=,5.5,CHEMBL3423405,3400.0
45447,CCCC[C@H](NC(=O)CCCCCNC(=O)[C@H]1CC[C@H]2c3[nH]c4ccccc4c3CCN2C1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCCN)C(N)=O,drd1,P21728,Kd,=,4.4,CHEMBL3423401,38000.0
45448,C=CCN1CCc2c(cc(O)c(O)c2Br)[C@@H](c2ccccc2)C1,drd1,P21728,Kd,=,6.4,CHEMBL34095,384.0
45449,CCCC[C@H](NC(=O)CCCCCNC(=O)[C@H]1CC[C@@H]2c3[nH]c4ccccc4c3CCN2C1)C(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)N1C[C@@H](N)C[C@H]1C(N)=O,drd1,P21728,Kd,=,5.4,CHEMBL3423408,4000.0
45450,CN(C)C1CCc2cc(O)c(O)cc2C1,drd1,P21728,Kd,=,5.3,CHEMBL611801,4600.0
45451,NC[C@H](O)c1ccc(O)c(O)c1,drd1,P21728,Kd,=,4.3,CHEMBL1437,50000.0
45452,CNC[C@H](O)c1ccc(O)c(O)c1,drd1,P21728,Kd,=,4.3,CHEMBL679,55000.0
45453,CC(C)[C@H](NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1)C(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)N1CCC[C@H]1C(N)=O,drd1,P21728,Kd,=,6.2,CHEMBL388509,600.0
45454,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,drd1,P21728,Kd,=,6.2,CHEMBL53,680.0
45455,CN1C[C@H](C(=O)N[C@@H](Cc2ccc([N+](=O)[O-])cc2)C(=O)N[C@@H](Cc2ccc(F)cc2)C(=O)N2CCCC(C(N)=O)C2)C=C2c3cccc4[nH]cc(c34)C[C@H]21,drd1,P21728,Kd,=,6.2,CHEMBL390299,700.0
45456,CC(C)[C@H](NC(=O)[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1)C(=O)N[C@@H](Cc1ccc([N+](=O)[O-])cc1)C(=O)N1CCC[C@H]1C(N)=O,drd1,P21728,Kd,=,6.2,CHEMBL436797,700.0
45457,CC(C)[C@H](NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1)C(=O)N[C@@H](Cc1ccc([N+](=O)[O-])cc1)C(=O)N1CCC[C@H]1C(N)=O,drd1,P21728,Kd,=,5.1,CHEMBL388732,7800.0
45458,NCCc1c[nH]c2ccc(O)cc12,drd1,P21728,Kd,=,5.0,CHEMBL39,9690.0
45459,CN1CCc2cc(Cl)c(O)cc2[C@@H](c2ccccc2)C1,drd1,P21728,Ki,=,10.0,CHEMBL1256645,0.1
45460,CN1CCN([C@@H]2C[C@@H](c3ccccc3)c3ccc(Cl)cc32)CC1(C)C,drd1,P21728,Ki,=,9.9,CHEMBL3039528,0.1
45461,CN1CCc2cc(Cl)c(O)cc2[C@@H](c2ccccc2)C1,drd1,P21728,Ki,=,9.8,CHEMBL1256645,0.2
45462,CN1CCc2cc(Cl)c(O)cc2[C@@H](c2ccccc2)C1,drd1,P21728,Ki,=,9.7,CHEMBL1256645,0.2
45463,CC(=O)N(Cc1ccc([C@H]2CN(C)CCc3cc(Cl)c(O)cc32)cc1)C1CCC1,drd1,P21728,Ki,=,9.7,CHEMBL596824,0.2
45464,C[C@H]1C=C(C2=Nc3cc(Cl)ccc3Nc3ccc(F)cc32)CCN1C,drd1,P21728,Ki,=,9.7,CHEMBL4758723,0.2
45465,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3cccc(/C=N/OCc4ccccc4)c3CC[C@@H]21,drd1,P21728,Ki,=,9.7,CHEMBL599135,0.2
45466,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3cccc(-c4ccccc4)c3CC[C@@H]21,drd1,P21728,Ki,=,9.7,CHEMBL599528,0.2
45467,CN1CCc2cc(Br)c(O)cc2C(c2ccccc2)C1,drd1,P21728,Ki,=,9.5,CHEMBL324017,0.3
45468,CN(C)C1C=CC2(CC1)c1ccccc1C=Cc1ccc(Cl)cc12,drd1,P21728,Ki,=,9.5,CHEMBL300647,0.3
45469,CN1CCc2cc(Cl)c(O)cc2[C@@H](c2ccccc2)C1,drd1,P21728,Ki,=,9.5,CHEMBL1256645,0.3
45470,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3cccc(-c4ccncc4)c3CC[C@@H]21,drd1,P21728,Ki,=,9.5,CHEMBL605127,0.3
45471,CN(C)C1C=CC2(CC1)c1ccccc1CCc1ccc(Cl)cc12,drd1,P21728,Ki,=,9.5,CHEMBL45491,0.3
45472,CN1CCc2ccccc2Cc2ccc(O)cc2CC1,drd1,P21728,Ki,=,9.5,CHEMBL1204122,0.4
45473,CN1CCc2ccccc2Cc2ccc(O)cc2CC1,drd1,P21728,Ki,=,9.4,CHEMBL1204122,0.4
45474,Cc1cccc([C@H]2CN(C)CCc3cc(Cl)c(O)cc32)c1,drd1,P21728,Ki,=,9.4,CHEMBL304535,0.4
45475,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3cccc(-c4cccc(F)c4)c3CC[C@@H]21,drd1,P21728,Ki,=,9.4,CHEMBL598104,0.4
45476,CN1CCc2ccccc2Cc2c(ccc(O)c2Cl)CC1,drd1,P21728,Ki,=,9.3,CHEMBL380464,0.5
45477,Cc1ccc2c(c1)N=C(C1=C[C@H](C)N(C)CC1)c1cc(Cl)ccc1N2,drd1,P21728,Ki,=,9.3,CHEMBL4756254,0.5
45478,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccc(NS(C)(=O)=O)cc3CC[C@@H]21,drd1,P21728,Ki,=,9.3,CHEMBL597909,0.5
45479,CN1CCc2cc(Cl)c(O)cc2[C@@H](c2ccc(CN(C3CCC3)S(C)(=O)=O)cc2)C1,drd1,P21728,Ki,=,9.3,CHEMBL599282,0.5
45480,CN1CCc2cc(Cl)c(O)cc2[C@@H](c2ccc(CN(C)S(C)(=O)=O)cc2)C1,drd1,P21728,Ki,=,9.3,CHEMBL603901,0.5
45481,CN1CCc2ccccc2Cc2[nH]c3ccc(O)cc3c2CC1,drd1,P21728,Ki,=,9.3,CHEMBL245570,0.6
45482,CN1CCc2cc(Br)c(O)cc2[C@@H](c2ccccc2)C1,drd1,P21728,Ki,=,9.2,CHEMBL1744079,0.6
45483,CN1CCc2cc(Cl)c(O)cc2[C@@H](c2ccc(CN(C)S(=O)(=O)c3ccccc3)cc2)C1,drd1,P21728,Ki,=,9.2,CHEMBL599487,0.6
45484,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3cccc(-c4ccc5[nH]ccc5c4)c3CC[C@@H]21,drd1,P21728,Ki,=,9.2,CHEMBL597503,0.6
45485,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3cccc(-c4cccc(C#N)c4)c3CC[C@@H]21,drd1,P21728,Ki,=,9.2,CHEMBL598105,0.6
45486,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3cccc(O)c3CC[C@@H]21,drd1,P21728,Ki,=,9.2,CHEMBL604314,0.6
45487,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3cccc(-c4cccc([N+](=O)[O-])c4)c3CC[C@@H]21,drd1,P21728,Ki,=,9.2,CHEMBL605339,0.6
45488,CN1CCc2cc(Cl)c(O)cc2[C@@H](c2ccc(CN(Cc3ccccc3)c3ccc(F)cc3F)cc2)C1,drd1,P21728,Ki,=,9.2,CHEMBL597702,0.7
45489,CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccc(NC(=O)Nc4c(Cl)cccc4Cl)cc3CC[C@@H]21,drd1,P21728,Ki,=,9.2,CHEMBL599977,0.7
45490,CCS(=O)(=O)Nc1ccc2c(c1)CC[C@H]1[C@H]2c2cc(O)c(Cl)cc2CCN1C,drd1,P21728,Ki,=,9.2,CHEMBL600986,0.7
45491,CN1CCc2cc(Cl)c(O)cc2[C@@H](c2ccccc2)C1,drd1,P21728,Ki,=,9.2,CHEMBL1256645,0.7
