Index,cano2_smiles,Receptor,Uniprot ID,Activity Type,Activity Relation,p-value (-log),ChEMBL ID,Activity Value
35852,CCC(=O)NCc1cc(C(=O)NCCNC(=O)CCc2cn(CCCCC3CCN(CC(=O)N4c5ccccc5NC(=O)c5ccccc54)CC3)cn2)cc(C(=O)NCCNC(=O)CCc2cn(CCCCC3CCN(CC(=O)N4c5ccccc5NC(=O)c5ccccc54)CC3)cn2)c1,acm4,P08173 ,Kd,=,9.2,CHEMBL4089543,0.7
35853,CC1(C)C(/C=C/C=C/C=C2/N(CCCCCC(=O)NCCN3CCN(CCCCC4CCN(CC(=O)N5c6ccccc6NC(=O)c6ccccc65)CC4)CC3)c3ccc(S(=O)(=O)O)cc3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccccc21,acm4,P08173 ,Kd,=,8.0,CHEMBL4641726,9.6
35854,COc1ccc([S+]([O-])c2ccc(C(C)C3CCN(C4CCCCC4)CC3)cc2)cc1,acm4,P08173 ,Ki,=,10.2,CHEMBL71124,0.1
35855,C=C(c1ccc([S@@+]([O-])c2ccc(OC)cc2)cc1)C1CCN(C2CCCCC2)CC1,acm4,P08173 ,Ki,=,10.1,CHEMBL2114068,0.1
35856,C[N+]1(C)[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@H]1O[C@@H]21,acm4,P08173 ,Ki,=,10.0,CHEMBL1201024,0.1
35857,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,acm4,P08173 ,Ki,=,10.0,CHEMBL517712,0.1
35858,CC(C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)N1CC(Oc2cccc(O)c2)C1,acm4,P08173 ,Ki,=,9.9,CHEMBL1910856,0.1
35859,C[N+]1(C)[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,acm4,P08173 ,Ki,=,9.9,CHEMBL1506225,0.1
35860,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,acm4,P08173 ,Ki,=,9.6,CHEMBL1231,0.3
35861,C=C(c1ccc([S@+]([O-])c2ccc(OC)cc2)cc1)C1CCN(C2CCCCC2)CC1,acm4,P08173 ,Ki,=,9.5,CHEMBL2115128,0.3
35862,C=C(c1ccc(S(=O)(=O)c2ccc(OC)cc2)cc1)C1CCN(C2CCCCC2)CC1,acm4,P08173 ,Ki,=,9.5,CHEMBL71147,0.3
35863,CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2,acm4,P08173 ,Ki,=,9.5,CHEMBL1201203,0.3
35864,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,acm4,P08173 ,Ki,=,9.5,CHEMBL517712,0.3
35865,O=c1ccc2c([C@@H](O)CNCCc3ccc(CCN4CCC(Cn5cnc([C@](O)(c6ccccc6)C6CCCCC6)n5)CC4)cc3)ccc(O)c2[nH]1,acm4,P08173 ,Ki,=,9.5,CHEMBL3629360,0.4
35866,C[N+]1(C)CCC(OC(=O)C(c2ccccc2)c2ccccc2)CC1,acm4,P08173 ,Ki,=,9.4,CHEMBL168067,0.4
35867,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,acm4,P08173 ,Ki,=,9.4,CHEMBL1464005,0.4
35868,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,acm4,P08173 ,Ki,=,9.4,CHEMBL1123,0.4
35869,O=C(CCCCCNC(=O)COc1ccc(/C=C/C2=[N+]3C(=Cc4ccc(-c5cccs5)n4[B-]3(F)F)C=C2)cc1)NCCNC(=O)CCc1cn(CCCCC2CCN(CC(=O)N3c4ccccc4NC(=O)c4ccccc43)CC2)cn1,acm4,P08173 ,Ki,=,9.4,CHEMBL4742721,0.4
35870,NCCN1CCN(CCCCC2CCN(CC(=O)N3c4ccccc4NC(=O)c4ccccc43)CC2)CC1,acm4,P08173 ,Ki,=,9.4,CHEMBL4636083,0.4
35871,C[N+]1(C)CCC[C@H]1[C@H]1CSC(c2ccccc2)(c2ccccc2)O1,acm4,P08173 ,Ki,=,9.3,CHEMBL1184884,0.5
35872,CCC(=O)NCc1cc(C(=O)NCCNC(=O)CCc2cn(CCCCC3CCN(CC(=O)N4c5ccccc5NC(=O)c5ccccc54)CC3)cn2)cc(C(=O)NCCNC(=O)CCc2cn(CCCCC3CCN(CC(=O)N4c5ccccc5NC(=O)c5ccccc54)CC3)cn2)c1,acm4,P08173 ,Ki,=,9.3,CHEMBL4089543,0.5
35873,C[N+]1(C)CCC(OC(=O)C(c2ccccc2)c2ccccc2)CC1,acm4,P08173 ,Ki,=,9.3,CHEMBL168067,0.5
35874,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,acm4,P08173 ,Ki,=,9.2,CHEMBL517712,0.6
35875,C[N+]1(C)CCC(OC(=O)C(c2ccccc2)c2ccccc2)CC1,acm4,P08173 ,Ki,=,9.2,CHEMBL168067,0.7
35876,C[N+](C)(C)C[C@H]1COC[C@@](c2ccccc2)(C2CCCCC2)O1,acm4,P08173 ,Ki,=,9.2,CHEMBL4645580,0.7
35877,C[N+]1(C)CCC[C@@H]1[C@@H]1CS[C@@](c2ccccc2)(C2CCCCC2)O1,acm4,P08173 ,Ki,=,9.2,CHEMBL1182214,0.7
35878,CN(C)CCC=C1c2ccccc2CCc2ccccc21,acm4,P08173 ,Ki,=,9.1,CHEMBL629,0.7
35879,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,acm4,P08173 ,Ki,=,9.1,CHEMBL1490,0.8
35880,CN1CCC=C(c2nsnc2OCCCCCCCCCOc2nsnc2C2=CCCN(C)C2)C1,acm4,P08173 ,Ki,=,9.1,CHEMBL143469,0.8
35881,CN(C)C[C@H]1COC[C@@](c2ccccc2)(C2CCCCC2)O1,acm4,P08173 ,Ki,=,9.1,CHEMBL4635500,0.8
35882,C[N+]1(C)CCC[C@H]1[C@H]1CS[C@@](c2ccccc2)(C2CCCCC2)O1,acm4,P08173 ,Ki,=,9.1,CHEMBL1182201,0.9
35883,C[N+]1(C)CCC[C@H]1[C@H]1CS[C@](c2ccccc2)(C2CCCCC2)O1,acm4,P08173 ,Ki,=,9.1,CHEMBL1184886,0.9
