Index,cano2_smiles,Receptor,Uniprot ID,Activity Type,Activity Relation,p-value (-log),ChEMBL ID,Activity Value
56032,C[C@](Cc1c[nH]c2ccccc12)(NC(=O)OC1C2CC3CC(C2)CC1C3)C(=O)N[C@@H](CC(=O)O)Cc1ccc(N)cc1,gasr,P32239,Kd,=,10.0,CHEMBL354049,0.1
56033,C[C@](Cc1c[nH]c2ccccc12)(NC(=O)OC1C2CC3CC(C2)CC1C3)C(=O)N[C@@H](CC(=O)O)Cc1ccc(N)c(I)c1,gasr,P32239,Kd,=,9.6,CHEMBL1628582,0.3
56034,CN1C(=O)[C@H](NC(=O)Nc2cccc(I)c2)N=C(c2ccccc2)c2ccccc21,gasr,P32239,Kd,=,8.5,CHEMBL515268,3.0
56035,CSCC[C@H](NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,gasr,P32239,Kd,=,7.7,CHEMBL120632,21.7
56036,CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCCCCNC(=O)[C@H](CCCNC(=N)N)NC(=O)C[Se]c1ccccc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,gasr,P32239,Kd,=,7.5,CHEMBL4278080,29.3
56037,CSCC[C@@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@@H](Cc1ccc(O)cc1)NC(=O)[C@@H](C)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@H](CC(=O)O)C(=O)N[C@H](Cc1ccccc1)C(N)=O,gasr,P32239,Kd,=,8.5,CHEMBL413654,3.2
56038,CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCCCCNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC[Se]C)NC(C)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,gasr,P32239,Kd,=,7.3,CHEMBL4286411,45.5
56039,C[C@](Cc1c[nH]c2ccccc12)(NC(=O)OC1C2CC3CC(C2)CC1C3)C(=O)N[C@@H](CC(=O)O)Cc1ccc(N=[N+]=[N-])c(I)c1,gasr,P32239,Kd,=,8.1,CHEMBL2079605,8.1
56040,CCCC[C@H](NC(=O)[C@@H](N)Cc1ccc(OS(=O)(=O)O)cc1)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,gasr,P32239,Ki,=,10.2,CHEMBL1206334,0.1
56041,CNc1cccc(NC(=O)N[C@@H]2N=C(c3ccccn3)c3ccccc3N(CC(=O)C(C)(C)C)C2=O)c1,gasr,P32239,Ki,=,10.1,CHEMBL324547,0.1
56042,O=C(CN1N=C(C2CCCCC2)c2ccccc2N(CC(=O)C2CCCC2)C1=O)Nc1cccc(-c2noc(=O)[nH]2)c1,gasr,P32239,Ki,=,10.0,CHEMBL227276,0.1
56043,CCCC[C@H](NC(=O)CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCC)NC(=O)[C@@H](N)CC(=O)O)C(=O)N[C@@H](Cc1ccc(S(=O)(=O)O)cc1)C(=O)N[C@@H](CC(=O)O)C(=O)O,gasr,P32239,Ki,=,9.9,CHEMBL2372781,0.1
56044,CNc1cccc(NC(=O)N[C@@H]2N=C(c3ccccn3)c3ccccc3N(CC(=O)C(C)(C)C)C2=O)c1,gasr,P32239,Ki,=,9.9,CHEMBL324547,0.1
56045,CCCC[C@H](NC(=O)[C@H](Cc1ccc(OS(=O)(=O)O)cc1)NC(=O)OC(C)(C)C)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N(C)[C@@H](CCCC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,gasr,P32239,Ki,=,9.8,CHEMBL411271,0.2
56046,CCCC[C@H](NC(=O)[C@H](Cc1ccc(OS(=O)(=O)O)cc1)NC(=O)OC(C)(C)C)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,gasr,P32239,Ki,=,9.8,CHEMBL384035,0.2
56047,O=C(Nc1cccc(CO)c1)NC1C(=O)N(CC23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)c2ccccc2N(c2ccccc2)C1=O,gasr,P32239,Ki,=,9.8,CHEMBL415240,0.2
56048,CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(-c3nc(=O)o[nH]3)c2)N=C(C2CCCCC2)c2ccccc21,gasr,P32239,Ki,=,9.7,CHEMBL226583,0.2
56049,CC(C)CCN1C(=O)C(NC(=O)Nc2cccc(N(C)C)c2)C(=O)N(c2ccccc2F)c2ccccc21,gasr,P32239,Ki,=,9.7,CHEMBL333979,0.2
56050,CCCC[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O)N(C)C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1,gasr,P32239,Ki,=,9.7,CHEMBL382409,0.2
56051,O=C(Nc1cccc(C2N=NN=N2)c1)NC1C(=O)N(CCC2CCCC2)c2ccccc2N(c2ccccc2F)C1=O,gasr,P32239,Ki,=,9.7,CHEMBL331872,0.2
56052,CCCC[C@H](NC(=O)[C@H](Cc1ccc(OS(=O)(=O)O)cc1)NC(=O)OC(C)(C)C)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,gasr,P32239,Ki,=,9.6,CHEMBL384035,0.2
56053,CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(-c3ccc(C(=O)O)o3)c2)N=C(C2CCCCC2)c2ccccc21,gasr,P32239,Ki,=,9.6,CHEMBL388144,0.2
56054,CC(C)CCN1C(=O)C(NC(=O)Nc2cccc(N(C)C)c2)C(=O)N(c2ccccc2F)c2ccccc21,gasr,P32239,Ki,=,9.6,CHEMBL333979,0.3
56055,O=C(O)Cc1cccc(NC(=O)CN2N=C(C3CCCCC3)c3ccccc3N(CC(=O)C3CCCC3)C2=O)c1,gasr,P32239,Ki,=,9.6,CHEMBL387948,0.3
56056,CC(C)(C)CCN1C(=O)C(NC(=O)Nc2cccc(C3N=NN=N3)c2)C(=O)N(c2ccccc2)c2ccccc21,gasr,P32239,Ki,=,9.5,CHEMBL332902,0.3
56057,CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2ccc3ccn(CC(=O)O)c3c2)N=C(C2CCCCC2)c2ccccc21,gasr,P32239,Ki,=,9.5,CHEMBL389711,0.3
56058,Nc1cccc(NC(=O)NC2C(=O)N(CC34C[C@H]5C[C@@H](C3)C[C@@H](C4)C5)c3ccccc3N(c3ccccc3)C2=O)c1,gasr,P32239,Ki,=,9.5,CHEMBL331468,0.3
56059,CN(C)c1cccc(NC(=O)NC2C(=O)N(CCC(C)(C)C)c3ccccc3N(c3ccccc3)C2=O)c1,gasr,P32239,Ki,=,9.5,CHEMBL331975,0.3
56060,O=C(O)CSc1cccc(NC(=O)CN2N=C(C3CCCCC3)c3ccccc3N(CC(=O)C3CCCC3)C2=O)c1,gasr,P32239,Ki,=,9.5,CHEMBL227333,0.3
56061,CSc1cccc(NC(=O)NC2C(=O)N(CCC(C)C)c3ccccc3N(c3ccccc3F)C2=O)c1,gasr,P32239,Ki,=,9.5,CHEMBL121021,0.3
56062,O=C(O)CCc1cccc(NC(=O)CN2N=C(C3CCCCC3)c3ccccc3N(CC(=O)C3CCCC3)C2=O)c1,gasr,P32239,Ki,=,9.5,CHEMBL227330,0.3
56063,C[C@](Cc1c[nH]c2ccccc12)(NC(=O)OC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2)C(=O)NC[C@H](NC(=O)CCC(=O)O)c1ccccc1,gasr,P32239,Ki,=,9.5,CHEMBL2062154,0.4
56064,CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(-c3nc(C(=O)O)co3)c2)N=C(C2CCCCC2)c2ccccc21,gasr,P32239,Ki,=,9.4,CHEMBL437736,0.4
56065,O=C(Nc1ccccc1)NC1C(=O)N(CC23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)c2ccccc2N(c2ccccc2)C1=O,gasr,P32239,Ki,=,9.4,CHEMBL330977,0.4
56066,O=C(Nc1ccc(F)cc1)NC1C(=O)N(CC(=O)N2CC3CCC(CC3)C2)c2ccccc2N(c2ccccc2F)C1=O,gasr,P32239,Ki,=,9.4,CHEMBL320624,0.4
56067,C[C@](Cc1c[nH]c2ccccc12)(NC(=O)OC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2)C(=O)NC[C@H](NC(=O)CCC(=O)O)c1ccccc1,gasr,P32239,Ki,=,9.4,CHEMBL2062154,0.4
56068,C[C@](Cc1c[nH]c2ccccc12)(NC(=O)OC1C2CC3CC(C2)CC1C3)C(=O)N[C@@H](CC(=O)O)Cc1ccc(N)c(I)c1,gasr,P32239,Ki,=,9.4,CHEMBL1628582,0.4
56069,CC(C)(C)C(=O)CN1C(=O)N(CC(=O)Nc2cccc(-c3nc(=O)o[nH]3)c2)C(=O)N(C2CCCCCC2)c2ccccc21,gasr,P32239,Ki,=,9.4,CHEMBL407340,0.4
56070,CCCC[C@H](NC(=O)[C@H](Cc1ccc(CS(=O)(=O)O)cc1)NC(=O)OC(C)(C)C)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,gasr,P32239,Ki,=,9.3,CHEMBL1207511,0.5
56071,CSc1cccc(NC(=O)NC2C(=O)N(CCC(C)(C)C)c3ccccc3N(c3ccccc3)C2=O)c1,gasr,P32239,Ki,=,9.3,CHEMBL330773,0.5
56072,CCCC[C@@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O)N(C)C(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CS(=O)(=O)O,gasr,P32239,Ki,=,9.3,CHEMBL120150,0.5
56073,CCCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H]1CCCCNC(=O)[C@H](NC(=O)OC(C)(C)C)CCC(=O)N[C@H](Cc2ccc(OS(=O)(=O)O)cc2)C(=O)N[C@@H](CCCC)C(=O)N1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc1ccccc1)C(N)=O,gasr,P32239,Ki,=,9.3,CHEMBL264273,0.6
56074,O=C(Nc1cccc(C(=O)OCCN2CCOCC2)c1)NC1C(=O)N(CC23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)c2ccccc2N(c2ccccc2)C1=O,gasr,P32239,Ki,=,9.3,CHEMBL402702,0.6
56075,O=C(Nc1cccc(O)c1)NC1C(=O)N(CC23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)c2ccccc2N(c2ccccc2)C1=O,gasr,P32239,Ki,=,9.2,CHEMBL331244,0.6
